"","pctyes","year","leaid","stabbr","votesharereqd","margin","passbond","holdbond","cap_exp","l1cap_exp","l2cap_exp","f1cap_exp","f2cap_exp","f3cap_exp","f4cap_exp","f5cap_exp","f6cap_exp","noncap_exp","l1noncap_exp","l2noncap_exp","f1noncap_exp","f2noncap_exp","f3noncap_exp","f4noncap_exp","f5noncap_exp","f6noncap_exp","l1passbond","l2passbond","f1passbond","f2passbond","f3passbond","f4passbond","f5passbond","f6passbond","l1holdbond","l2holdbond","f1holdbond","f2holdbond","f3holdbond","f4holdbond","f5holdbond","f6holdbond"
"29",0.711578259448862,2000,600025,"CA",0.666666984558105,0.044911277,1,1,2779.1296,3800.9141,4998.208,3328.3831,3851.8833,3121.9033,2336.2673,241.61133,234.1205,11295.605,10173.976,10224.576,11050.289,11723.35,12484.792,11525.838,11552.263,11151.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0.61567597596081,2008,600025,"CA",0.550000011920929,0.065675966,1,1,23.816055,87.462578,234.1205,66.205521,92.301323,466.63663,970.01672,3517.9858,2542.1409,11297.555,11174.348,11151.873,10935.161,10520.741,10191.24,11152.6,11274.686,11121.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0.673815859499734,2016,600025,"CA",0.550000011920929,0.12381585,1,1,905.71661,1873.6434,2542.1409,908.91333,NA,NA,NA,NA,NA,13699.595,12543.689,11121.847,13499.352,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"32",0.561160714285714,2005,600026,"CA",0.550000011920929,0.011160702,1,1,388.73166,87.675613,184.54858,152.31882,886.97394,467.52005,665.12469,803.69653,5569.7466,9943.1006,9236.4355,10022.863,10150.563,10748.419,10852.698,10417.837,10726.404,10583.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0.525505254648343,1995,600027,"CA",0.666666984558105,-0.14116172,0,1,1351.5015,NA,NA,633.36383,834.09381,2585.8889,1002.2686,2015.1354,4167.418,7610.6919,NA,NA,7707.8081,7600.1094,7922.4648,8163.9727,8318.0439,8954.6084,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
"34",0.667374019555174,2016,600027,"CA",0.550000011920929,0.11737401,1,1,451.06488,212.82454,108.23004,632.58252,NA,NA,NA,NA,NA,10700.362,10158.6,9596.2197,11969.215,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"35",0.63374279267987,2012,600028,"CA",0.550000011920929,0.083742782,1,1,554.33545,133.48138,159.87276,310.20895,403.83188,573.43341,1293.0901,833.82867,NA,8259.7285,8099.9951,8676.7402,7879.686,8181.292,8905.7998,10066.512,10624.623,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"36",0.613892180094787,1996,600029,"CA",0.666666984558105,-0.052774806,0,1,1588.9463,994.5722,NA,1074.2621,2764.6575,2131.4517,3333.9045,2523.1472,2632.9343,7513.8037,7273.1318,NA,7431.0483,7899.8838,8435.9609,8958.2646,9027.2227,8606.8408,0,NA,0,1,0,0,0,1,0,NA,0,1,0,0,0,1
"37",0.715107913669065,1998,600029,"CA",0.666666984558105,0.04844093,1,1,2764.6575,1074.2621,1588.9463,2131.4517,3333.9045,2523.1472,2632.9343,5192.6274,3130.7666,7899.8838,7431.0483,7513.8037,8435.9609,8958.2646,9027.2227,8606.8408,8720.4844,8942.9385,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"39",0.573825503355705,2006,600029,"CA",0.550000011920929,0.023825491,1,1,3125.9956,2201.6533,3130.7666,2850.6108,5521.1997,4368.3755,710.26294,661.0647,1136.9209,8883.5352,9103.3936,8942.9385,9312.416,9760.6211,9750.4258,9352.7334,9062.5439,9007.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0.579488233480629,2014,600029,"CA",0.550000011920929,0.029488221,1,1,412.95471,321.40283,1136.9209,332.30011,769.8432,895.14374,NA,NA,NA,8992.9229,8533.377,9007.9912,9997.1797,10474.143,11298.762,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"41",0.754410971569458,2000,600032,"CA",0.666666984558105,0.08774399,1,1,689.99109,708.11786,560.59161,442.53024,1000.0522,3317.1094,2025.7235,1822.1628,4146.2178,10516.103,10117.524,10561.624,10849.02,11842.267,11614.536,10975.171,11173.995,11345.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0.659156303340649,2008,600032,"CA",0.550000011920929,0.10915629,1,1,1237.9545,2973.2939,4146.2178,1634.7587,6020.0562,5320.6382,3158.3311,3612.4053,3308.0371,12179.624,11714.392,11345.648,12177.299,11776.326,11348.574,11307.762,10708.307,10973.732,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"43",0.642651888341544,2012,600032,"CA",0.550000011920929,0.092651874,1,1,3158.3311,5320.6382,6020.0562,3612.4053,3308.0371,1427.4203,1529.7242,801.79205,NA,11307.762,11348.574,11776.326,10708.307,10973.732,11392.713,12278.429,12523.848,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"44",0.677083333333333,2000,600033,"CA",0.666666984558105,0.010416348,1,1,350.17142,395.38486,1111.6295,421.57285,462.22424,823.84448,1877.2542,2911.1343,501.77472,9754.2764,9471.3457,9691.5742,9784.666,10651.926,11152.954,11191.654,11463.975,11183.221,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"45",0.674224343675418,2002,600033,"CA",0.550000011920929,0.12422433,1,1,462.22424,421.57285,350.17142,823.84448,1877.2542,2911.1343,501.77472,681.54034,530.23334,10651.926,9784.666,9754.2764,11152.954,11191.654,11463.975,11183.221,11799.341,11812.565,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"46",0.627641290061672,2008,600034,"CA",0.550000011920929,0.077641279,1,1,200.40022,970.01013,1017.2266,951.17816,1997.6396,1964.9327,1684.6008,1300.9827,208.56564,10093.204,10265.273,10209.308,10541.195,10248.112,9887.4346,9939.0439,9921.1963,10031.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0.619642997562318,2016,600034,"CA",0.550000011920929,0.069642983,1,1,1156.2024,205.28403,208.56564,1492.7328,NA,NA,NA,NA,NA,11771.188,10865.49,10031.349,12925,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"48",0.660160734787601,2014,600035,"CA",0.550000011920929,0.11016072,1,1,1893.6691,1756.6118,2343.5237,434.82904,516.98169,1136.6693,NA,NA,NA,10808.742,10260.531,10456.917,11363.56,12683.256,13606.336,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"50",0.620002845354958,2006,600036,"CA",0.550000011920929,0.070002832,1,1,2443.2471,7189.0161,2559.7961,6321.0425,6602.7456,893.75482,475.60062,262.45172,1120.4939,9644.5645,9727.1074,8841.3438,9921.3848,10751.785,10817.237,9674.3984,8547.1582,8717.9561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0.78876404494382,1999,600037,"CA",0.666666984558105,0.12209706,1,1,393.32101,213.51285,552.18805,757.20422,4715.2593,1074.0391,718.06677,299.24841,243.27594,9292.9014,9154.6934,8188.6685,9606.6885,10704.689,10840.102,11116.628,10026.194,11185.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0.462110960757781,2016,600037,"CA",0.550000011920929,-0.087889053,0,1,138.54089,89.659264,38.325184,67.699913,NA,NA,NA,NA,NA,11244.223,11312.375,9655.8174,12438.32,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"57",0.658959537572254,1997,600040,"CA",0.666666984558105,-0.0077074468,0,1,1559.8231,623.6886,NA,2608.177,2992.5007,3625.4539,2019.9941,2182.113,1334.837,7819.3721,7266.9536,NA,7626.1748,8136.0908,8446.793,9119.2568,9914.5449,9881.3545,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"58",0.725605762933857,1999,600041,"CA",0.666666984558105,0.058938779,1,1,15922.773,28152.064,7397.793,17592.262,37613.145,15923.729,NA,NA,NA,48844.613,92743.656,71994.469,48994.449,38039.113,29262.697,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"59",0.657466383581033,2002,600043,"CA",0.666666984558105,-0.0092006009,0,1,2299.6606,6937.7354,11169.976,1563.1957,257.23575,244.96785,154.98012,321.39227,809.78357,9596.2988,9430.3379,8928.71,9450.041,8899.4717,9620.8096,9305.2256,9878.0322,9693.3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60",0.535745964165336,2008,600043,"CA",0.550000011920929,-0.014254048,0,1,809.78357,321.39227,154.98012,741.07214,904.34357,31.503136,86.071022,57.896236,76.072029,9693.3506,9878.0322,9305.2256,9608.1455,8889.9463,8470.3506,8561.377,8640.3457,8990.9268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"62",0.674913693901036,2002,600044,"CA",0.550000011920929,0.12491369,1,1,592.7796,1816.3984,2785.9458,658.65778,2198.0156,1662.288,7390.7329,3072.2021,545.40155,11196.894,10495.137,10054.166,11000.943,10985.604,10918.86,10977.451,12862.725,12422.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0.61372635283766,2012,600044,"CA",0.550000011920929,0.063726343,1,1,81.372299,574.5072,122.43258,413.48093,1559.5044,9013.5039,10974.758,5765.8052,NA,11310.165,11065.459,12311.982,12638.268,15525.885,15950.24,16771.395,18093.756,NA,0,0,0,0,0,1,0,NA,0,0,0,0,0,1,0,NA
"64",0.661452649448284,2016,600044,"CA",0.550000011920929,0.11145264,1,1,10974.758,9013.5039,1559.5044,5765.8052,NA,NA,NA,NA,NA,16771.395,15950.24,15525.885,18093.756,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"65",0.564150943396226,2008,600045,"CA",0.550000011920929,0.014150931,1,1,539.14484,205.95166,38.418716,3932.0381,2606.5181,2024.7017,3768.5823,2141.719,84.478813,11128.529,10024.229,9796.2236,11353.367,10644.17,9327.9238,9742.502,10160.915,9416.7021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",0.747920133111481,2000,600046,"CA",0.666666984558105,0.081253149,1,1,848.43018,777.93591,579.89337,1791.433,1370.8901,711.42902,533.67847,85.8442,25.622904,10778.016,9528.793,8134.751,12404.432,12221.395,11228.052,11218.639,11229.566,11699.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",0.495145631067961,2014,600046,"CA",0.550000011920929,-0.054854382,0,1,597.89899,328.99661,285.59567,520.7348,1610.8268,271.35571,NA,NA,NA,10560.847,9810.2451,9819.8408,11136.049,12416.917,13903.397,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"68",0.62200956937799,2000,600047,"CA",0.666666984558105,-0.044657417,0,1,2092.8462,812.37891,737.23608,3125.2244,1629.665,1090.0598,500.67834,1599.3103,859.14117,8559.3438,7857.0303,7920.5156,8863.1719,9726.0508,9294.6289,8333.7813,8569.8594,8774.8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0.650256118383608,2014,600047,"CA",0.550000011920929,0.10025611,1,1,380.13657,1122.7493,1397.5193,422.86435,1056.1045,842.27393,NA,NA,NA,9479.1055,8720.8447,9138.459,9506.9531,10303.342,11349.107,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"70",0.592020129403307,1998,600048,"CA",0.666666984558105,-0.074646853,0,1,1552.2209,NA,NA,1242.3976,1028.6221,2323.9446,1088.1797,377.48315,874.47076,9817.0508,NA,NA,9825.873,9981.3564,10699.247,10710.545,10375.295,10254.208,NA,NA,0,0,0,0,0,0,NA,NA,1,0,0,1,0,0
"71",0.632978723404255,1999,600048,"CA",0.666666984558105,-0.033688262,0,1,1242.3976,1552.2209,NA,1028.6221,2323.9446,1088.1797,377.48315,874.47076,1142.6024,9825.873,9817.0508,NA,9981.3564,10699.247,10710.545,10375.295,10254.208,10404.396,0,NA,0,0,0,0,0,0,1,NA,0,0,1,0,0,0
"72",0.522366779540189,2002,600048,"CA",0.550000011920929,-0.027633233,0,1,1088.1797,2323.9446,1028.6221,377.48315,874.47076,1142.6024,834.21484,687.35687,955.47833,10710.545,10699.247,9981.3564,10375.295,10254.208,10404.396,10718.521,11013.098,10772.149,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"73",0.584615384615385,2006,600048,"CA",0.550000011920929,0.034615371,1,1,834.21484,1142.6024,874.47076,687.35687,955.47833,1817.2307,1622.317,1776.8608,2805.7681,10718.521,10404.396,10254.208,11013.098,10772.149,10904.254,10699.197,10276.711,9815.9434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0.575698541689859,2016,600048,"CA",0.550000011920929,0.02569853,1,1,195.79379,521.43719,379.46997,396.9379,NA,NA,NA,NA,NA,12104.325,10396.607,9747.0146,12754.371,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
