pctyes,year,leaid,stabbr,votesharereqd,margin,passbond,holdbond,cap_exp,l1cap_exp,l2cap_exp,f1cap_exp,f2cap_exp,f3cap_exp,f4cap_exp,f5cap_exp,f6cap_exp,noncap_exp,l1noncap_exp,l2noncap_exp,f1noncap_exp,f2noncap_exp,f3noncap_exp,f4noncap_exp,f5noncap_exp,f6noncap_exp,l1passbond,l2passbond,f1passbond,f2passbond,f3passbond,f4passbond,f5passbond,f6passbond,l1holdbond,l2holdbond,f1holdbond,f2holdbond,f3holdbond,f4holdbond,f5holdbond,f6holdbond
.651925820256776,2017,600018,CA,.550000011920929,.10192581,1,1,2405.5452,641.77032,1357.6552,,,,,,,19892.006,20435.523,18613.016,,,,,,,0,0,,,,,,,0,0,,,,,,
.7319870759289177,2004,600019,CA,.550000011920929,.18198706,1,1,719.95508,410.20261,1625.6002,9080.4648,4474.3848,8156.1426,6989.3843,4684.5977,10785.011,11161.577,11765.504,11564.367,11875.627,14191.648,12361.729,12320.748,12535.369,15985.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6202064896755162,2012,600019,CA,.550000011920929,.070206478,1,1,2212.8503,5640.9536,10785.011,3916.0522,5892.5503,4159.4092,1220.7483,1881.8519,,10597.775,10862.996,15985.534,10575.693,10675.883,11990.441,11771.8,11756.624,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,
.601917304154159,2016,600019,CA,.550000011920929,.051917292,1,1,1220.7483,4159.4092,5892.5503,1881.8519,,,,,,11771.8,11990.441,10675.883,11756.624,,,,,,0,0,0,,,,,,0,0,0,,,,,
.7691901036159865,1997,600020,CA,.6666669845581055,.10252312,1,1,1949.2521,4527.4136,2661.7119,1745.0961,3167.3569,4539.5083,3391.8279,2725.7974,2151.9053,9800.7227,9399.8223,9888.3164,9353.2832,9511.875,10661.67,11523.36,12897.336,13396.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.691035885515037,2016,600020,CA,.550000011920929,.14103587,1,1,12.034463,35.185333,35.332298,23.928482,,,,,,12641.188,11539.545,11127.847,12692.065,,,,,,0,0,0,,,,,,0,0,0,,,,,
.8422391857506362,1999,600021,CA,.6666669845581055,.1755722,1,1,517.04175,934.92218,317.00409,2624.4783,17396.125,637.86047,1001.2728,777.5213,38.418392,9720.3838,8741.5225,8157.0566,10719.162,12008.457,14382.443,14002.052,13853.401,13849.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.7392055267702936,2012,600022,CA,.550000011920929,.18920551,1,1,2519.7456,310.69711,1091.8694,1865.1473,8272.8877,1625.5779,474.75702,3452.6128,,9718.0703,9877.7842,12161.871,10291.491,9908.3701,11219.029,11894.21,12059.875,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,
.7989756722151088,2014,600022,CA,.550000011920929,.24897566,1,1,8272.8877,1865.1473,2519.7456,1625.5779,474.75702,3452.6128,,,,9908.3701,10291.491,9718.0703,11219.029,11894.21,12059.875,,,,0,1,0,0,0,,,,0,1,0,0,0,,,
.6316963447514476,1995,600023,CA,.6666669845581055,-.034970641,0,1,567.591,,,919.30524,899.16718,590.30682,689.72955,856.95221,3058.5171,10724.481,,,11469.917,10137.059,10867.373,10741.389,11390.389,11404.969,,,0,0,0,0,0,0,,,0,0,0,0,0,0
.7115782594488618,2000,600025,CA,.6666669845581055,.044911277,1,1,2779.1296,3800.9141,4998.208,3328.3831,3851.8833,3121.9033,2336.2673,241.61133,234.1205,11295.605,10173.976,10224.576,11050.289,11723.35,12484.792,11525.838,11552.263,11151.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.61567597596081,2008,600025,CA,.550000011920929,.065675966,1,1,23.816055,87.462578,234.1205,66.205521,92.301323,466.63663,970.01672,3517.9858,2542.1409,11297.555,11174.348,11151.873,10935.161,10520.741,10191.24,11152.6,11274.686,11121.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6738158594997339,2016,600025,CA,.550000011920929,.12381585,1,1,905.71661,1873.6434,2542.1409,908.91333,,,,,,13699.595,12543.689,11121.847,13499.352,,,,,,0,0,0,,,,,,0,0,0,,,,,
.5611607142857142,2005,600026,CA,.550000011920929,.011160702,1,1,388.73166,87.675613,184.54858,152.31882,886.97394,467.52005,665.12469,803.69653,5569.7466,9943.1006,9236.4355,10022.863,10150.563,10748.419,10852.698,10417.837,10726.404,10583.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5255052546483427,1995,600027,CA,.6666669845581055,-.14116172,0,1,1351.5015,,,633.36383,834.09381,2585.8889,1002.2686,2015.1354,4167.418,7610.6919,,,7707.8081,7600.1094,7922.4648,8163.9727,8318.0439,8954.6084,,,0,0,0,0,0,0,,,0,0,0,0,0,0
.6673740195551735,2016,600027,CA,.550000011920929,.11737401,1,1,451.06488,212.82454,108.23004,632.58252,,,,,,10700.362,10158.6,9596.2197,11969.215,,,,,,0,0,0,,,,,,0,0,0,,,,,
.6337427926798697,2012,600028,CA,.550000011920929,.083742782,1,1,554.33545,133.48138,159.87276,310.20895,403.83188,573.43341,1293.0901,833.82867,,8259.7285,8099.9951,8676.7402,7879.686,8181.292,8905.7998,10066.512,10624.623,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
.6138921800947867,1996,600029,CA,.6666669845581055,-.052774806,0,1,1588.9463,994.5722,,1074.2621,2764.6575,2131.4517,3333.9045,2523.1472,2632.9343,7513.8037,7273.1318,,7431.0483,7899.8838,8435.9609,8958.2646,9027.2227,8606.8408,0,,0,1,0,0,0,1,0,,0,1,0,0,0,1
.7151079136690648,1998,600029,CA,.6666669845581055,.04844093,1,1,2764.6575,1074.2621,1588.9463,2131.4517,3333.9045,2523.1472,2632.9343,5192.6274,3130.7666,7899.8838,7431.0483,7513.8037,8435.9609,8958.2646,9027.2227,8606.8408,8720.4844,8942.9385,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
.7045814587161777,2002,600029,CA,.550000011920929,.15458144,1,1,2632.9343,2523.1472,3333.9045,5192.6274,3130.7666,2201.6533,3125.9956,2850.6108,5521.1997,8606.8408,9027.2227,8958.2646,8720.4844,8942.9385,9103.3936,8883.5352,9312.416,9760.6211,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
.5738255033557047,2006,600029,CA,.550000011920929,.023825491,1,1,3125.9956,2201.6533,3130.7666,2850.6108,5521.1997,4368.3755,710.26294,661.0647,1136.9209,8883.5352,9103.3936,8942.9385,9312.416,9760.6211,9750.4258,9352.7334,9062.5439,9007.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5794882334806289,2014,600029,CA,.550000011920929,.029488221,1,1,412.95471,321.40283,1136.9209,332.30011,769.8432,895.14374,,,,8992.9229,8533.377,9007.9912,9997.1797,10474.143,11298.762,,,,0,0,0,0,0,,,,0,0,0,0,0,,,
.7544109715694584,2000,600032,CA,.6666669845581055,.08774399,1,1,689.99109,708.11786,560.59161,442.53024,1000.0522,3317.1094,2025.7235,1822.1628,4146.2178,10516.103,10117.524,10561.624,10849.02,11842.267,11614.536,10975.171,11173.995,11345.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6591563033406487,2008,600032,CA,.550000011920929,.10915629,1,1,1237.9545,2973.2939,4146.2178,1634.7587,6020.0562,5320.6382,3158.3311,3612.4053,3308.0371,12179.624,11714.392,11345.648,12177.299,11776.326,11348.574,11307.762,10708.307,10973.732,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
.6426518883415435,2012,600032,CA,.550000011920929,.092651874,1,1,3158.3311,5320.6382,6020.0562,3612.4053,3308.0371,1427.4203,1529.7242,801.79205,,11307.762,11348.574,11776.326,10708.307,10973.732,11392.713,12278.429,12523.848,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
.6770833333333334,2000,600033,CA,.6666669845581055,.010416348,1,1,350.17142,395.38486,1111.6295,421.57285,462.22424,823.84448,1877.2542,2911.1343,501.77472,9754.2764,9471.3457,9691.5742,9784.666,10651.926,11152.954,11191.654,11463.975,11183.221,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
.6742243436754176,2002,600033,CA,.550000011920929,.12422433,1,1,462.22424,421.57285,350.17142,823.84448,1877.2542,2911.1343,501.77472,681.54034,530.23334,10651.926,9784.666,9754.2764,11152.954,11191.654,11463.975,11183.221,11799.341,11812.565,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
.6276412900616722,2008,600034,CA,.550000011920929,.077641279,1,1,200.40022,970.01013,1017.2266,951.17816,1997.6396,1964.9327,1684.6008,1300.9827,208.56564,10093.204,10265.273,10209.308,10541.195,10248.112,9887.4346,9939.0439,9921.1963,10031.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6196429975623181,2016,600034,CA,.550000011920929,.069642983,1,1,1156.2024,205.28403,208.56564,1492.7328,,,,,,11771.188,10865.49,10031.349,12925,,,,,,0,0,0,,,,,,0,0,0,,,,,
.6601607347876005,2014,600035,CA,.550000011920929,.11016072,1,1,1893.6691,1756.6118,2343.5237,434.82904,516.98169,1136.6693,,,,10808.742,10260.531,10456.917,11363.56,12683.256,13606.336,,,,0,0,0,0,0,,,,0,0,0,0,0,,,
.7238253319713994,2002,600036,CA,.550000011920929,.17382532,1,1,4418.9541,8562.3896,9616.5498,5853.2881,2559.7961,7189.0161,2443.2471,6321.0425,6602.7456,10011.226,10070.315,9186.7002,9667.459,8841.3438,9727.1074,9644.5645,9921.3848,10751.785,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
.620002845354958,2006,600036,CA,.550000011920929,.070002832,1,1,2443.2471,7189.0161,2559.7961,6321.0425,6602.7456,893.75482,475.60062,262.45172,1120.4939,9644.5645,9727.1074,8841.3438,9921.3848,10751.785,10817.237,9674.3984,8547.1582,8717.9561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.7211645248294463,2014,600036,CA,.550000011920929,.17116451,1,1,402.69135,713.09393,1120.4939,342.31476,2461.137,4304.1494,,,,9106.1162,8937.6982,8717.9561,11470.596,10825.218,11458.646,,,,0,0,0,0,0,,,,0,0,0,0,0,,,
.7887640449438202,1999,600037,CA,.6666669845581055,.12209706,1,1,393.32101,213.51285,552.18805,757.20422,4715.2593,1074.0391,718.06677,299.24841,243.27594,9292.9014,9154.6934,8188.6685,9606.6885,10704.689,10840.102,11116.628,10026.194,11185.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.4621109607577808,2016,600037,CA,.550000011920929,-.087889053,0,1,138.54089,89.659264,38.325184,67.699913,,,,,,11244.223,11312.375,9655.8174,12438.32,,,,,,0,0,0,,,,,,0,0,0,,,,,
.7716262975778547,2016,600038,CA,.550000011920929,.22162628,1,1,778.84747,1015.1907,0,178.49829,,,,,,12123.317,10362.425,7782.6191,12076.481,,,,,,0,0,0,,,,,,0,0,0,,,,,
.7128663686040735,2012,600039,CA,.5,.21286637,1,1,16.018549,257.25726,410.07742,338.92303,885.98291,1530.7386,156.29477,180.71156,,9536.0957,10438.86,10481.828,9004.7998,10662.117,11514.726,13426.12,14396.82,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,
.7424359968968193,2016,600039,CA,.550000011920929,.19243598,1,1,156.29477,1530.7386,885.98291,180.71156,,,,,,13426.12,11514.726,10662.117,14396.82,,,,,,0,0,0,,,,,,0,0,0,,,,,
.6589595375722543,1997,600040,CA,.6666669845581055,-.0077074468,0,1,1559.8231,623.6886,,2608.177,2992.5007,3625.4539,2019.9941,2182.113,1334.837,7819.3721,7266.9536,,7626.1748,8136.0908,8446.793,9119.2568,9914.5449,9881.3545,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
.7256057629338573,1999,600041,CA,.6666669845581055,.058938779,1,1,15922.773,28152.064,7397.793,17592.262,37613.145,15923.729,,,,48844.613,92743.656,71994.469,48994.449,38039.113,29262.697,,,,0,0,0,0,0,,,,0,0,0,0,0,,,
.6574663835810333,2002,600043,CA,.6666669845581055,-.0092006009,0,1,2299.6606,6937.7354,11169.976,1563.1957,257.23575,244.96785,154.98012,321.39227,809.78357,9596.2988,9430.3379,8928.71,9450.041,8899.4717,9620.8096,9305.2256,9878.0322,9693.3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
.5357459641653362,2008,600043,CA,.550000011920929,-.014254048,0,1,809.78357,321.39227,154.98012,741.07214,904.34357,31.503136,86.071022,57.896236,76.072029,9693.3506,9878.0322,9305.2256,9608.1455,8889.9463,8470.3506,8561.377,8640.3457,8990.9268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
.7216981132075472,2014,600043,CA,.550000011920929,.17169811,1,1,76.072029,57.896236,86.071022,201.95494,909.06958,2375.4158,,,,8990.9268,8640.3457,8561.377,9884.0391,10286.397,11584.248,,,,0,0,0,0,0,,,,0,0,0,0,0,,,
.6749136939010357,2002,600044,CA,.550000011920929,.12491369,1,1,592.7796,1816.3984,2785.9458,658.65778,2198.0156,1662.288,7390.7329,3072.2021,545.40155,11196.894,10495.137,10054.166,11000.943,10985.604,10918.86,10977.451,12862.725,12422.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6137263528376595,2012,600044,CA,.550000011920929,.063726343,1,1,81.372299,574.5072,122.43258,413.48093,1559.5044,9013.5039,10974.758,5765.8052,,11310.165,11065.459,12311.982,12638.268,15525.885,15950.24,16771.395,18093.756,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,
.6614526494482842,2016,600044,CA,.550000011920929,.11145264,1,1,10974.758,9013.5039,1559.5044,5765.8052,,,,,,16771.395,15950.24,15525.885,18093.756,,,,,,0,0,0,,,,,,0,0,0,,,,,
.5641509433962264,2008,600045,CA,.550000011920929,.014150931,1,1,539.14484,205.95166,38.418716,3932.0381,2606.5181,2024.7017,3768.5823,2141.719,84.478813,11128.529,10024.229,9796.2236,11353.367,10644.17,9327.9238,9742.502,10160.915,9416.7021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.7479201331114809,2000,600046,CA,.6666669845581055,.081253149,1,1,848.43018,777.93591,579.89337,1791.433,1370.8901,711.42902,533.67847,85.8442,25.622904,10778.016,9528.793,8134.751,12404.432,12221.395,11228.052,11218.639,11229.566,11699.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.4951456310679612,2014,600046,CA,.550000011920929,-.054854382,0,1,597.89899,328.99661,285.59567,520.7348,1610.8268,271.35571,,,,10560.847,9810.2451,9819.8408,11136.049,12416.917,13903.397,,,,0,0,0,0,0,,,,0,0,0,0,0,,,
.6220095693779905,2000,600047,CA,.6666669845581055,-.044657417,0,1,2092.8462,812.37891,737.23608,3125.2244,1629.665,1090.0598,500.67834,1599.3103,859.14117,8559.3438,7857.0303,7920.5156,8863.1719,9726.0508,9294.6289,8333.7813,8569.8594,8774.8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6502561183836084,2014,600047,CA,.550000011920929,.10025611,1,1,380.13657,1122.7493,1397.5193,422.86435,1056.1045,842.27393,,,,9479.1055,8720.8447,9138.459,9506.9531,10303.342,11349.107,,,,0,0,0,0,0,,,,0,0,0,0,0,,,
.5920201294033069,1998,600048,CA,.6666669845581055,-.074646853,0,1,1552.2209,,,1242.3976,1028.6221,2323.9446,1088.1797,377.48315,874.47076,9817.0508,,,9825.873,9981.3564,10699.247,10710.545,10375.295,10254.208,,,0,0,0,0,0,0,,,1,0,0,1,0,0
.6329787234042553,1999,600048,CA,.6666669845581055,-.033688262,0,1,1242.3976,1552.2209,,1028.6221,2323.9446,1088.1797,377.48315,874.47076,1142.6024,9825.873,9817.0508,,9981.3564,10699.247,10710.545,10375.295,10254.208,10404.396,0,,0,0,0,0,0,0,1,,0,0,1,0,0,0
.522366779540189,2002,600048,CA,.550000011920929,-.027633233,0,1,1088.1797,2323.9446,1028.6221,377.48315,874.47076,1142.6024,834.21484,687.35687,955.47833,10710.545,10699.247,9981.3564,10375.295,10254.208,10404.396,10718.521,11013.098,10772.149,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
.5846153846153846,2006,600048,CA,.550000011920929,.034615371,1,1,834.21484,1142.6024,874.47076,687.35687,955.47833,1817.2307,1622.317,1776.8608,2805.7681,10718.521,10404.396,10254.208,11013.098,10772.149,10904.254,10699.197,10276.711,9815.9434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5756985416898586,2016,600048,CA,.550000011920929,.02569853,1,1,195.79379,521.43719,379.46997,396.9379,,,,,,12104.325,10396.607,9747.0146,12754.371,,,,,,0,0,0,,,,,,0,0,0,,,,,
.6093638313080773,1998,600049,CA,.6666669845581055,-.057303153,0,1,855.16406,,,2469.5142,2821.1719,6629.4868,4383.2095,3226.5127,5664.5684,9866.1777,,,9850.4121,10520.368,12057.4,12714.828,12928.783,12430.297,,,0,0,0,1,0,0,,,0,0,0,1,0,0
.7154162709718265,2002,600049,CA,.550000011920929,.16541626,1,1,4383.2095,6629.4868,2821.1719,3226.5127,5664.5684,18722.869,6394.5381,1735.3986,1720.6615,12714.828,12057.4,10520.368,12928.783,12430.297,13406.371,14062.515,15084.619,16792.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.3849594632373498,2012,600051,CA,.550000011920929,-.16504055,0,1,211.99411,105.17889,138.30707,67.95681,852.31384,947.02686,371.36612,819.65289,,9556.543,9451.2324,9432.3223,8833.8623,9662.3496,10580.576,11500.454,11799.043,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
.5739136608917921,2014,600052,CA,.550000011920929,.02391365,1,1,285.35544,383.05774,556.8772,445.81339,527.36084,887.87091,,,,11657.48,11487.218,11419.2,12294.117,13239.02,13455.519,,,,0,0,0,0,0,,,,0,0,0,0,0,,,
.6724553786782441,2004,600060,CA,.550000011920929,.12245537,1,1,2384.1731,1212.4684,619.63715,854.77759,3619.4412,4053.2725,3277.5984,783.54065,1693.2042,10667.4,10559.104,11339.216,10914.757,11129.212,11696.18,12008.972,11118.209,10445.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
.4080383284535534,2010,600060,CA,.550000011920929,-.14196168,0,1,1693.2042,783.54065,3277.5984,1064.4811,355.33655,578.78595,76.97123,90.107628,139.1864,10445.407,11118.209,12008.972,10640.06,10496.777,10379.259,10687.43,11177.877,12183.853,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
.6013807210432115,2016,600060,CA,.550000011920929,.051380709,1,1,139.1864,90.107628,76.97123,276.71545,,,,,,12183.853,11177.877,10687.43,12665.905,,,,,,0,0,0,,,,,,0,0,0,,,,,
.6311688311688312,2003,600061,CA,.6666669845581055,-.035498153,0,1,682.56061,918.70483,759.70032,1374.7435,832.32867,873.73761,774.14661,1402.5793,8066.4492,11117.432,10285.49,9030.9111,11170.559,11057.897,10746.853,12187.963,12068.027,12975.701,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
.6159554730983302,2004,600061,CA,.6666669845581055,-.050711513,0,1,1374.7435,682.56061,918.70483,832.32867,873.73761,774.14661,1402.5793,8066.4492,4103.2822,11170.559,11117.432,10285.49,11057.897,10746.853,12187.963,12068.027,12975.701,12101.029,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
.6529266281945589,2005,600061,CA,.550000011920929,.10292662,1,1,832.32867,1374.7435,682.56061,873.73761,774.14661,1402.5793,8066.4492,4103.2822,752.22461,11057.897,11170.559,11117.432,10746.853,12187.963,12068.027,12975.701,12101.029,12304.274,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
